,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,WIld Card,Division,Championship,Super Bowl
Los Angeles Chargers,Las Vegas Raiders,Carolina Panthers,Pittsburgh Steelers,Kansas City Chiefs,,Denver Broncos,Arizona Cardinals,New Orleans Saints,Cleveland Browns,Tennessee Titans,Cincinnati Bengals,Baltimore Ravens,Atlanta Falcons,Kansas City Chiefs,Tampa Bay Buccaneers,Denver Broncos,New England Patriots,Las Vegas Raiders,Houston Texans,,,
Los Angeles Rams,Detroit Lions,Arizona Cardinals,San Francisco 49ers,Chicago Bears,Green Bay Packers,,Las Vegas Raiders,Minnesota Vikings,Seattle Seahawks,Miami Dolphins,New England Patriots,Philadelphia Eagles,New Orleans Saints,Buffalo Bills,San Francisco 49ers,New York Jets,Arizona Cardinals,Seattle Seahawks,Minnesota Vikings,Philadelphia Eagles,,
Miami Dolphins,Jacksonville Jaguars,Buffalo Bills,Seattle Seahawks,Tennessee Titans,New England Patriots,,Indianapolis Colts,Arizona Cardinals,Buffalo Bills,Los Angeles Rams,Las Vegas Raiders,New England Patriots,Green Bay Packers,New York Jets,Houston Texans,San Francisco 49ers,Cleveland Browns,New York Jets,,,,
Minnesota Vikings,New York Giants,San Francisco 49ers,Houston Texans,Green Bay Packers,New York Jets,,Detroit Lions,Los Angeles Rams,Indianapolis Colts,Jacksonville Jaguars,Tennessee Titans,Chicago Bears,Arizona Cardinals,Atlanta Falcons,Chicago Bears,Seattle Seahawks,Green Bay Packers,Detroit Lions,Los Angeles Rams,,,
New England Patriots,Cincinnati Bengals,Seattle Seahawks,New York Jets,San Francisco 49ers,Miami Dolphins,Houston Texans,Jacksonville Jaguars,New York Jets,Tennessee Titans,Chicago Bears,Los Angeles Rams,Miami Dolphins,Indianapolis Colts,,Arizona Cardinals,Buffalo Bills,Los Angeles Chargers,Buffalo Bills,,,,
New Orleans Saints,Carolina Panthers,Dallas Cowboys,Philadelphia Eagles,Atlanta Falcons,Kansas City Chiefs,Tampa Bay Buccaneers,Denver Broncos,Los Angeles Chargers,Carolina Panthers,Atlanta Falcons,Cleveland Browns,,Los Angeles Rams,New York Giants,Washington Commanders,Green Bay Packers,Las Vegas Raiders,Tampa Bay Buccaneers,,,,
New York Giants,Minnesota Vikings,Washington Commanders,Cleveland Browns,Dallas Cowboys,Seattle Seahawks,Cincinnati Bengals,Philadelphia Eagles,Pittsburgh Steelers,Washington Commanders,Carolina Panthers,,Tampa Bay Buccaneers,Dallas Cowboys,New Orleans Saints,Baltimore Ravens,Atlanta Falcons,Indianapolis Colts,Philadelphia Eagles,,,,
New York Jets,San Francisco 49ers,Tennessee Titans,New England Patriots,Denver Broncos,Minnesota Vikings,Buffalo Bills,Pittsburgh Steelers,New England Patriots,Houston Texans,Arizona Cardinals,Indianapolis Colts,,Seattle Seahawks,Miami Dolphins,Jacksonville Jaguars,Los Angeles Rams,Buffalo Bills,Miami Dolphins,,,,
Philadelphia Eagles,Green Bay Packers,Atlanta Falcons,New Orleans Saints,Tampa Bay Buccaneers,,Cleveland Browns,New York Giants,Cincinnati Bengals,Jacksonville Jaguars,Dallas Cowboys,Washington Commanders,Los Angeles Rams,Baltimore Ravens,Carolina Panthers,Pittsburgh Steelers,Washington Commanders,Dallas Cowboys,New York Giants,Green Bay Packers,Los Angeles Rams,Washington Commanders,Kansas City Chiefs
Pittsburgh Steelers,Atlanta Falcons,Denver Broncos,Los Angeles Chargers,Indianapolis Colts,Dallas Cowboys,Las Vegas Raiders,New York Jets,New York Giants,,Washington Commanders,Baltimore Ravens,Cleveland Browns,Cincinnati Bengals,Cleveland Browns,Philadelphia Eagles,Baltimore Ravens,Kansas City Chiefs,Cincinnati Bengals,Baltimore Ravens,,,
San Francisco 49ers,New York Jets,Minnesota Vikings,Los Angeles Rams,New England Patriots,Arizona Cardinals,Seattle Seahawks,Kansas City Chiefs,Dallas Cowboys,,Tampa Bay Buccaneers,Seattle Seahawks,Green Bay Packers,Buffalo Bills,Chicago Bears,Los Angeles Rams,Miami Dolphins,Detroit Lions,Arizona Cardinals,,,,
Seattle Seahawks,Denver Broncos,New England Patriots,Miami Dolphins,Detroit Lions,New York Giants,San Francisco 49ers,Atlanta Falcons,Buffalo Bills,Los Angeles Rams,,San Francisco 49ers,Arizona Cardinals,New York Jets,Arizona Cardinals,Green Bay Packers,Minnesota Vikings,Chicago Bears,Los Angeles Rams,,,,
Tampa Bay Buccaneers,Washington Commanders,Detroit Lions,Denver Broncos,Philadelphia Eagles,Atlanta Falcons,New Orleans Saints,Baltimore Ravens,Atlanta Falcons,Kansas City Chiefs,San Francisco 49ers,,New York Giants,Carolina Panthers,Las Vegas Raiders,Los Angeles Chargers,Dallas Cowboys,Carolina Panthers,New Orleans Saints,Washington Commanders,,,
Tennessee Titans,Chicago Bears,New York Jets,Green Bay Packers,Miami Dolphins,,Indianapolis Colts,Buffalo Bills,Detroit Lions,New England Patriots,Los Angeles Chargers,Minnesota Vikings,Houston Texans,Washington Commanders,Jacksonville Jaguars,Cincinnati Bengals,Indianapolis Colts,Jacksonville Jaguars,Houston Texans,,,,
Washington Commanders,Tampa Bay Buccaneers,New York Giants,Cincinnati Bengals,Arizona Cardinals,Cleveland Browns,Baltimore Ravens,Carolina Panthers,Chicago Bears,New York Giants,Pittsburgh Steelers,Philadelphia Eagles,Dallas Cowboys,Tennessee Titans,,New Orleans Saints,Philadelphia Eagles,Atlanta Falcons,Dallas Cowboys,Tampa Bay Buccaneers,Detroit Lions,Philadelphia Eagles,
